,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
population,0.23513385286108843,-0.31058891586510967,-0.04655818318987033,0.07071548912769961,0.5644873554191202,0.17501397299601876,0.13787587046014824,0.5823311504199411,0.21566489131385636,-0.028005675858374116,-0.10168975490079658,-0.07644849821061277,-0.26067528999073114,0.04725612347439479,-0.004179928913634814,-7.261969964397164e-09
gdp,0.29431520425949187,0.1302448776651141,-0.12298326922234529,-0.19066633331054164,-0.01835771510203689,0.08088639054949119,-0.09370739009304709,0.2143266427612459,-0.2595136297038224,-0.46068920946976133,0.6403740620392419,-0.23123398153575495,0.1539620712946008,-0.12829271391130426,-0.006811275082248012,2.2501394990935167e-08
primary_energy_consumption,0.30397645275217366,0.11645222560621009,-0.0065976947852971445,-0.09884717911168865,-0.15949182476888932,0.015330080019317542,0.04530790066155615,0.004525951593057423,0.07991731713041235,0.03866830468557425,0.06557758049987973,0.04597037520326263,-0.0018739768178870561,0.9176928296142869,-0.004195970369466941,-1.1822878074595767e-08
energy_per_capita,0.017354643944755166,0.31695593535322036,0.5533114736829058,-0.41990873724742334,0.4073799233836727,-0.49202951402435907,0.08885604192090213,-0.018195566692957812,0.012413390372061291,-0.005775148695627359,-0.0029235965154234544,-0.010714987029294114,-0.0036549932703850915,-0.012597685724234675,-0.00018369474329792146,1.0600385567191132e-10
energy_per_gdp,0.022165568551528108,0.1420432721730017,0.7136364299604159,0.22893317140755334,-0.060081682430499384,0.6160681303531145,-0.17698036353373647,0.029170063982794224,-0.03138771317429975,-0.03134923705021897,0.014265803683144328,0.005423898293145724,0.009827834236140802,-0.004936730253560604,-0.000707879451836592,-2.534387978840324e-10
co2,0.3078347066230372,0.022229523623781902,0.020131701714044478,-0.10844166031283933,-0.1795178874645093,-0.00466373181455778,-0.016164661033385902,0.03418811613148883,0.18483572802071552,0.19721758417666493,-0.03798320098182828,-0.043723254263732164,0.030624087311784856,-0.16844071817806455,-0.47793863631282274,0.7243971962819222
total_ghg,0.3083850837052499,-0.006369176735558063,-0.01861382750554664,0.0003609485714310551,0.011837006520906385,0.014061072288703139,-0.04071378737398106,-0.3956185380825962,-0.2946446727055031,-0.21922035965809142,-0.3337328121461681,-0.4557535225929756,-0.5401938975409872,-0.015178534393341391,0.0005028868735858089,-4.257004151633465e-09
consumption_co2,0.30361295926170023,0.08402750138445979,-0.02835513618274435,-0.17111217946629828,-0.14922802178216524,0.044991190809476236,-0.08582518379996872,0.050475555320969694,0.1649545736687581,0.24630255141498636,-0.07082528961649698,-0.0405943843460731,0.03306147848794446,-0.17241566901516575,-0.49637121497082787,-0.6817070583793412
methane,0.2902164258914921,-0.0864048119939225,-0.052312573792956917,0.20051138689810383,0.3744442766196524,0.05102028020263766,0.05557473856972111,-0.28007183771815386,-0.1132543307812488,-0.0030579144964332228,-0.23975132034584454,-0.1723650903249575,0.7346284534217568,0.03615841407995748,-0.0037592661024019466,6.657219179116852e-09
nitrous_oxide,0.2937135139678749,-0.12224617139755066,-0.04136395557929266,0.0438353873656436,0.30624245976266673,0.10783727409744177,0.04919008573869268,-0.41675216049481817,-0.16753824560324176,0.280655315627375,0.4034726041171758,0.5310141779734816,-0.23595379423671342,-0.07941895827382298,0.007492947792846957,-3.7192000517701485e-09
cement_co2,0.24099778286382859,-0.3608057840692059,0.13722342439335625,-0.15241415944685915,-0.19346988679670607,-0.18578613360714624,-0.3492593579947373,0.2296019159892288,-0.354398127785009,-0.23517615391306473,-0.3343739428138067,0.46953092097170723,0.08595274606285694,-0.022358516435473673,0.044427846931357685,9.471358720076616e-09
flaring_co2,0.16625374476441568,0.3553519126387344,-0.05775116862710925,0.6366655005813961,0.09135413675784579,-0.38806166230866074,-0.4882104417447855,0.11681106171662559,0.10997429679289397,0.01994182029085977,0.06286967959674661,0.029335256486025238,-0.09530079244020559,-0.0026470050194910937,0.00896872846624991,3.2798149423633354e-09
trade_co2,-0.15615592747505275,0.401405009857572,-0.3305788960346121,-0.371326971814924,0.27598439716546214,0.331904163935204,-0.4561764655984862,0.09400513386216677,-0.20903007391181416,0.24410620450141063,-0.20243386380166947,0.03898686193934366,0.0034527719211086896,0.04368070890495216,0.07639733875015643,0.10258746792160144
coal_co2,0.285125628315422,-0.20885885853445765,0.10322400096124798,-0.15559918393644967,-0.19833296006884182,-0.06872115583857463,-0.1897416413945046,0.041986157052782025,0.1539981096018315,0.47551859390630274,0.11079458576750867,-0.29910781477959725,0.05019873487969226,-0.13155485327809113,0.6220859235562813,2.9084680516981384e-07
gas_co2,0.22140620776140674,0.4183467869880591,-0.047158725170004245,0.17160409301739074,-0.18160225491517773,0.0044281632690477786,0.5517979276198326,0.31356534488410975,-0.41402074983830484,0.21722685993925056,-0.1695008787546997,0.11459516496139749,-0.0022433182360862593,-0.13464617739322096,0.17289379848116723,7.563289589222077e-08
oil_co2,0.2682100087440785,0.29351188832299474,-0.13001158627329779,-0.12984557645748077,-0.055888394670409486,0.156438379630976,0.08505577870404898,-0.1615980806730743,0.5594777693752654,-0.4116757749385574,-0.19803134650143067,0.300058212413514,0.005489389313001344,-0.18753351938582727,0.31664452381889036,1.372180664163137e-07
